"","Year","EVTYPE","SumYear"
"1",1950,"TORNADO",669
"2",1951,"TORNADO",807
"3",1952,"TORNADO",816
"4",1953,"TORNADO",1476
"5",1954,"TORNADO",1827
"6",1955,"TORNADO",1896
"7",1955,"TSTM WIND",1263
"8",1955,"HAIL",1080
"9",1956,"TSTM WIND",2205
"10",1956,"HAIL",1203
"11",1956,"TORNADO",1701
"12",1957,"TORNADO",2790
"13",1957,"HAIL",1437
"14",1957,"TSTM WIND",2325
"15",1958,"TORNADO",1824
"16",1958,"TSTM WIND",2697
"17",1958,"HAIL",2118
"18",1959,"TORNADO",1890
"19",1959,"TSTM WIND",1956
"20",1959,"HAIL",1593
"21",1960,"TORNADO",1935
"22",1960,"TSTM WIND",2157
"23",1960,"HAIL",1743
"24",1961,"TORNADO",2316
"25",1961,"TSTM WIND",2256
"26",1961,"HAIL",2166
"27",1962,"TORNADO",2019
"28",1962,"TSTM WIND",2490
"29",1962,"HAIL",2658
"30",1963,"TSTM WIND",2469
"31",1963,"TORNADO",1479
"32",1963,"HAIL",1956
"33",1964,"TORNADO",2280
"34",1964,"TSTM WIND",2727
"35",1964,"HAIL",2037
"36",1965,"TORNADO",2985
"37",1965,"TSTM WIND",3165
"38",1965,"HAIL",2415
"39",1966,"TSTM WIND",3150
"40",1966,"TORNADO",1818
"41",1966,"HAIL",2196
"42",1967,"TORNADO",2898
"43",1967,"TSTM WIND",2874
"44",1967,"HAIL",2292
"45",1968,"TORNADO",2145
"46",1968,"TSTM WIND",4587
"47",1968,"HAIL",3204
"48",1969,"HAIL",2298
"49",1969,"TSTM WIND",4530
"50",1969,"TORNADO",1950
"51",1970,"TSTM WIND",5382
"52",1970,"TORNADO",2100
"53",1970,"HAIL",2163
"54",1971,"TSTM WIND",4632
"55",1971,"TORNADO",2889
"56",1971,"HAIL",2892
"57",1972,"TORNADO",2325
"58",1972,"TSTM WIND",2136
"59",1972,"HAIL",2043
"60",1973,"TSTM WIND",6498
"61",1973,"TORNADO",3597
"62",1973,"HAIL",3294
"63",1974,"HAIL",4980
"64",1974,"TORNADO",3369
"65",1974,"TSTM WIND",7809
"66",1975,"HAIL",4122
"67",1975,"TSTM WIND",7917
"68",1975,"TORNADO",2886
"69",1976,"TSTM WIND",5226
"70",1976,"TORNADO",2805
"71",1976,"HAIL",3273
"72",1977,"TSTM WIND",5169
"73",1977,"TORNADO",2766
"74",1977,"HAIL",3249
"75",1978,"TSTM WIND",5274
"76",1978,"TORNADO",2625
"77",1978,"HAIL",3072
"78",1979,"TSTM WIND",6138
"79",1979,"HAIL",3945
"80",1979,"TORNADO",2754
"81",1980,"HAIL",5979
